id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385097965061099520,1284692373625348097,2021-04-22 10:37:43 IST,2021-04-22,10:37:43,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@TESLAcharts @nikolatrevor @CathieDWood 😂😂😂😂,und,[],[],[],0,0,0,[],[],https://twitter.com/qrivera55/status/1385097965061099520,False,,0,,,,,,,,"[{'screen_name': 'TESLAcharts', 'name': 'TC, Master of Chart', 'id': '962805945020702722'}, {'screen_name': 'nikolatrevor', 'name': 'Trevor Milton', 'id': '1370805675010314241'}, {'screen_name': 'CathieDWood', 'name': 'Cathie Wood', 'id': '2361631088'}]",,,,
1380597361970323456,1380597361970323456,2021-04-10 00:33:56 IST,2021-04-10,00:33:56,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,BESTIE TEES still rolling strong 🔥   @theallinpod @Jason @DavidSacks @friedberg @chamath   Shop at: 👕  https://t.co/seqA2JpYQM  https://t.co/nroHUDM7OZ,en,"[{'screen_name': 'theallinpod', 'name': 'the all-in podcast 💧🐦', 'id': '1234260054368342016'}, {'screen_name': 'jason', 'name': 'jason@calacanis.com', 'id': '3840'}, {'screen_name': 'davidsacks', 'name': 'david sacks', 'id': '1137701'}, {'screen_name': 'friedberg', 'name': 'david friedberg', 'id': '16359535'}, {'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}]",['http://bestiesapparel.com'],"['https://pbs.twimg.com/media/Eyjd-9lVcAAiw4x.jpg', 'https://pbs.twimg.com/media/Eyjd-9kVcAIbqpq.jpg', 'https://pbs.twimg.com/media/Eyjd-9lUcAAWuz7.jpg', 'https://pbs.twimg.com/media/Eyjd-9jVcAE_YeI.jpg']",0,0,1,[],[],https://twitter.com/qrivera55/status/1380597361970323456,False,,1,https://pbs.twimg.com/media/Eyjd-9lVcAAiw4x.jpg,,,,,,,[],,,,
1379639564654895108,1379564332921536514,2021-04-07 09:07:59 IST,2021-04-07,09:07:59,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@BahamaBen9 Love this! How do you like Rads? Currently choosing a specialty. Leaning towards Rads or Ophthalmology,en,[],[],[],0,0,0,[],[],https://twitter.com/qrivera55/status/1379639564654895108,False,,0,,,,,,,,"[{'screen_name': 'BahamaBen9', 'name': 'BahamaBen', 'id': '169899481'}]",,,,
1379276776929599489,1379189451532902401,2021-04-06 09:06:24 IST,2021-04-06,09:06:24,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,"@vincent13031925 @elonmusk So awesome! Genuine question, can you help me understand why they would owe you money? Seems like the amount would be $0.",en,[],[],[],1,0,0,[],[],https://twitter.com/qrivera55/status/1379276776929599489,False,,0,,,,,,,,"[{'screen_name': 'vincent13031925', 'name': 'Vincent 🚀\U0001f7e0', 'id': '1689516060'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",,,,
1377469606198013955,1377452121021370369,2021-04-01 09:25:20 IST,2021-04-01,09:25:20,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@HarleyMCarroll @BackpackerFI Dang... missing the 3 greatest states! Get some time in those bad boys!,en,[],[],[],0,0,1,[],[],https://twitter.com/qrivera55/status/1377469606198013955,False,,0,,,,,,,,"[{'screen_name': 'HarleyMCarroll', 'name': 'Harley Carroll', 'id': '1284540517435482113'}, {'screen_name': 'BackpackerFI', 'name': 'Danny Baldus-Strauss', 'id': '85663573'}]",,,,
1375523570625835015,1375523570625835015,2021-03-27 00:32:29 IST,2021-03-27,00:32:29,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,'BESTIE TEES' are live in celebration of today's episode! Support your favorite BESTIE over at  https://t.co/seqA2JpYQM 🙌🏻.  @theallinpod @Jason @chamath  @friedberg @DavidSacks @preshdkumar @nickcalacanis  https://t.co/u0F0FpC5Z4,en,"[{'screen_name': 'theallinpod', 'name': 'the all-in podcast 💧🐦', 'id': '1234260054368342016'}, {'screen_name': 'jason', 'name': 'jason@calacanis.com', 'id': '3840'}, {'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}, {'screen_name': 'friedberg', 'name': 'david friedberg', 'id': '16359535'}, {'screen_name': 'davidsacks', 'name': 'david sacks', 'id': '1137701'}, {'screen_name': 'preshdkumar', 'name': 'presh', 'id': '2949729567'}, {'screen_name': 'nickcalacanis', 'name': 'knick', 'id': '1104080555484897283'}]",['http://bestiesapparel.com'],"['https://pbs.twimg.com/media/ExbXQxuVoAIWALm.jpg', 'https://pbs.twimg.com/media/ExbXQx0VEAQ2Z6J.jpg', 'https://pbs.twimg.com/media/ExbXQxxUcAA6Rys.jpg', 'https://pbs.twimg.com/media/ExbXQxwU4AAXVTg.jpg']",0,0,4,[],[],https://twitter.com/qrivera55/status/1375523570625835015,False,,1,https://pbs.twimg.com/media/ExbXQxuVoAIWALm.jpg,,,,,,,[],,,,
1375457704026595330,1375457704026595330,2021-03-26 20:10:46 IST,2021-03-26,20:10:46,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,ITTTTSSSS TIME!! **Bruce Buffer Voice** @theallinpod EP 27. Don't miss it tonight 🔥  @Jason @DavidSacks @chamath @friedberg @nickcalacanis @preshdkumar  https://t.co/zeAskJKBDb,en,"[{'screen_name': 'theallinpod', 'name': 'the all-in podcast 💧🐦', 'id': '1234260054368342016'}, {'screen_name': 'jason', 'name': 'jason@calacanis.com', 'id': '3840'}, {'screen_name': 'davidsacks', 'name': 'david sacks', 'id': '1137701'}, {'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}, {'screen_name': 'friedberg', 'name': 'david friedberg', 'id': '16359535'}, {'screen_name': 'nickcalacanis', 'name': 'knick', 'id': '1104080555484897283'}, {'screen_name': 'preshdkumar', 'name': 'presh', 'id': '2949729567'}]",[],[],2,2,45,[],[],https://twitter.com/qrivera55/status/1375457704026595330,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1375457521083682818/pu/img/Dh66k9teOpd8EWJ2.jpg,,,,,,,[],,,,
1375457025518235657,1375293878455005194,2021-03-26 20:08:04 IST,2021-03-26,20:08:04,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@theallinpod This Just In..... @theallinpod  https://t.co/26vQwvb4XQ,en,"[{'screen_name': 'theallinpod', 'name': 'the all-in podcast 💧🐦', 'id': '1234260054368342016'}]",[],[],1,0,2,[],[],https://twitter.com/qrivera55/status/1375457025518235657,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1375456967121006597/pu/img/0eXNlWDldaw-x5OK.jpg,,,,,,,"[{'screen_name': 'theallinpod', 'name': 'The All-In Podcast 💧🐦', 'id': '1234260054368342016'}]",,,,
1375456865056747520,1375287613171462151,2021-03-26 20:07:26 IST,2021-03-26,20:07:26,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@DavidSacks @Jason It is time that we start selling fight promos?! 😂  https://t.co/w1JGDeNMfI,en,[],[],[],0,0,2,[],[],https://twitter.com/qrivera55/status/1375456865056747520,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1375456767908270081/pu/img/HSfnILGUoFNuIqVq.jpg,,,,,,,"[{'screen_name': 'DavidSacks', 'name': 'David Sacks', 'id': '1137701'}, {'screen_name': 'Jason', 'name': 'jason@calacanis.com', 'id': '3840'}]",,,,
1375272288883380225,1375073679374188546,2021-03-26 07:53:59 IST,2021-03-26,07:53:59,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@BahamaBen9 @cryptokid881 Higher conviction for $RDFN or $TDOC?,en,[],[],[],0,0,0,[],"['rdfn', 'tdoc']",https://twitter.com/qrivera55/status/1375272288883380225,False,,0,,,,,,,,"[{'screen_name': 'BahamaBen9', 'name': 'BahamaBen', 'id': '169899481'}, {'screen_name': 'cryptokid881', 'name': 'cryptokid88', 'id': '1347247770936037376'}]",,,,
1375146495922503681,1375146495922503681,2021-03-25 23:34:08 IST,2021-03-25,23:34:08,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,"@BahamaBen9 out of the individuals that you follow on Twitter, whose stock picks/analysis hold the most weight for you?",en,[],[],[],0,0,0,[],[],https://twitter.com/qrivera55/status/1375146495922503681,False,,0,,,,,,,,[],,,,
1374519459713482753,1374515820219404295,2021-03-24 06:02:31 IST,2021-03-24,06:02:31,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@JonahLupton @fintrics @TrendSpider @public Will this be recorded??,en,[],[],[],0,0,1,[],[],https://twitter.com/qrivera55/status/1374519459713482753,False,,0,,,,,,,,"[{'screen_name': 'JonahLupton', 'name': 'Jonah Lupton', 'id': '14579415'}, {'screen_name': 'fintrics', 'name': 'Fintrics', 'id': '1339738457472643072'}, {'screen_name': 'TrendSpider', 'name': 'TrendSpider', 'id': '969571031030616071'}, {'screen_name': 'public', 'name': 'Public.com', 'id': '4875271155'}]",,,,
1374154365712232448,1374153960261570564,2021-03-23 05:51:45 IST,2021-03-23,05:51:45,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@JonahLupton Will this be recorded my man?,en,[],[],[],0,0,2,[],[],https://twitter.com/qrivera55/status/1374154365712232448,False,,0,,,,,,,,"[{'screen_name': 'JonahLupton', 'name': 'Jonah Lupton', 'id': '14579415'}]",,,,
1374068479024754688,1374060777703927812,2021-03-23 00:10:29 IST,2021-03-23,00:10:29,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@peteoconnell @theallinpod @Jason @chamath @DavidSacks @friedberg 🐶💦 thank you for the support Pete!,en,[],[],[],0,0,2,[],[],https://twitter.com/qrivera55/status/1374068479024754688,False,,0,,,,,,,,"[{'screen_name': 'peteoconnell', 'name': ""Pete O'Connell"", 'id': '32279617'}, {'screen_name': 'theallinpod', 'name': 'The All-In Podcast 💧🐦', 'id': '1234260054368342016'}, {'screen_name': 'Jason', 'name': 'jason@calacanis.com', 'id': '3840'}, {'screen_name': 'chamath', 'name': 'Chamath Palihapitiya', 'id': '3291691'}, {'screen_name': 'DavidSacks', 'name': 'David Sacks', 'id': '1137701'}, {'screen_name': 'friedberg', 'name': 'david friedberg', 'id': '16359535'}]",,,,
1373790039251972099,1373757048010194945,2021-03-22 05:44:03 IST,2021-03-22,05:44:03,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@BahamaBen9 @a_p2014 What is your thoughts on $PLTR??,en,[],[],[],1,0,1,[],['pltr'],https://twitter.com/qrivera55/status/1373790039251972099,False,,0,,,,,,,,"[{'screen_name': 'BahamaBen9', 'name': 'BahamaBen', 'id': '169899481'}]",,,,
1373451042797481985,1373451042797481985,2021-03-21 07:17:00 IST,2021-03-21,07:17:00,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,New OG Longsleeve is up 🔥. It’s looking slick 🙌🏼.   @Jason could I get some love to drive some sales? 😉❤️  @theallinpod @chamath @DavidSacks @friedberg    https://t.co/MwT62LunoR,en,"[{'screen_name': 'jason', 'name': 'jason@calacanis.com', 'id': '3840'}, {'screen_name': 'theallinpod', 'name': 'the all-in podcast 💧🐦', 'id': '1234260054368342016'}, {'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}, {'screen_name': 'davidsacks', 'name': 'david sacks', 'id': '1137701'}, {'screen_name': 'friedberg', 'name': 'david friedberg', 'id': '16359535'}]",['https://www.bestiesapparel.com/products/the-og-tee'],[],1,0,3,[],[],https://twitter.com/qrivera55/status/1373451042797481985,False,,0,,,,,,,,[],,,,
1373450354998747136,1373393664400048141,2021-03-21 07:14:16 IST,2021-03-21,07:14:16,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@lookie585 @BahamaBen9 @WCInvestor Love @WCInvestor ! Thank you Todd!,en,"[{'screen_name': 'wcinvestor', 'name': 'white coat investor', 'id': '432698027'}]",[],[],1,0,1,[],[],https://twitter.com/qrivera55/status/1373450354998747136,False,,0,,,,,,,,"[{'screen_name': 'lookie585', 'name': 'Todd', 'id': '61371662'}, {'screen_name': 'BahamaBen9', 'name': 'BahamaBen', 'id': '169899481'}, {'screen_name': 'WCInvestor', 'name': 'White Coat Investor', 'id': '432698027'}]",,,,
1373397642282115072,1373393664400048141,2021-03-21 03:44:49 IST,2021-03-21,03:44:49,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@BahamaBen9 I’m in my 20s and in medical school. What would be your investment advice/allocation for a future high income earner??,en,[],[],[],1,0,3,[],[],https://twitter.com/qrivera55/status/1373397642282115072,False,,0,,,,,,,,"[{'screen_name': 'BahamaBen9', 'name': 'BahamaBen', 'id': '169899481'}]",,,,
1373078035625254914,1373073949978812417,2021-03-20 06:34:48 IST,2021-03-20,06:34:48,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@theallinpod Here.We.Go. 🔥,en,[],[],[],0,0,1,[],[],https://twitter.com/qrivera55/status/1373078035625254914,False,,0,,,,,,,,"[{'screen_name': 'theallinpod', 'name': 'The All-In Podcast 💧🐦', 'id': '1234260054368342016'}]",,,,
1371898245010452482,1371875877047447553,2021-03-17 00:26:44 IST,2021-03-17,00:26:44,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@zachtayl0r 🔥🔥 cop all the Wet Your Beak merch here my man 🤘🏼 @theallinpod    https://t.co/s5IrRIJ3Fq,en,"[{'screen_name': 'theallinpod', 'name': 'the all-in podcast 💧🐦', 'id': '1234260054368342016'}]",['https://www.bestiesapparel.com/products/wet-your-beak-hoodie'],[],0,0,0,[],[],https://twitter.com/qrivera55/status/1371898245010452482,False,,0,,,,,,,,"[{'screen_name': 'zachtayl0r', 'name': 'Zach Taylor', 'id': '762756764332765184'}]",,,,
1371530614487220225,1371521917778227202,2021-03-16 00:05:54 IST,2021-03-16,00:05:54,+0530,1341115399509667840,qrivera55,BESTIES APPAREL | The All-In Podcast,,@DavidSacks Let’s go!! @DavidSacks 🔥🔥,en,"[{'screen_name': 'davidsacks', 'name': 'david sacks', 'id': '1137701'}]",[],[],0,0,0,[],[],https://twitter.com/qrivera55/status/1371530614487220225,False,,0,,,,,,,,"[{'screen_name': 'DavidSacks', 'name': 'David Sacks', 'id': '1137701'}]",,,,
