id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Sentiment,Emotions
1.39E+18,1.39E+18,2021-04-24 01:39:42 IST,24-04-2021,01:39:42,530,475524030,wallstjesus,JE$US,,💰  https://t.co/2oKCyrpnxY,und,[],[],['https://pbs.twimg.com/media/EzrzSxBXoAUVsvF.jpg'],1,1,15,[],[],https://twitter.com/WallStJesus/status/1385687343319891983,FALSE,,1,https://pbs.twimg.com/media/EzrzSxBXoAUVsvF.jpg,,,,,,,[],,,,,NA,NA
1.39E+18,1.39E+18,2021-04-24 00:53:08 IST,24-04-2021,00:53:08,530,475524030,wallstjesus,JE$US,,$VIAC   Put/Call: 43k/158k,en,[],[],[],0,7,15,[],['viac'],https://twitter.com/WallStJesus/status/1385675626418425863,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.39E+18,1.39E+18,2021-04-24 00:49:56 IST,24-04-2021,00:49:56,530,475524030,wallstjesus,JE$US,,$YSG = Put/Call: 372/10k,cy,[],[],[],0,0,3,[],['ysg'],https://twitter.com/WallStJesus/status/1385674821342797834,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.39E+18,1.39E+18,2021-04-24 00:09:00 IST,24-04-2021,00:09:00,530,475524030,wallstjesus,JE$US,,"$VIP S =  Put/Call: 5136/62,000+  https://t.co/j80VIHGvdY",en,[],[],['https://pbs.twimg.com/media/EzreidwX0AU7dK0.jpg'],0,1,5,[],['vip'],https://twitter.com/WallStJesus/status/1385664520937517058,FALSE,,1,https://pbs.twimg.com/media/EzreidwX0AU7dK0.jpg,,,,,,,[],,,,,NA,NA
1.39E+18,1.39E+18,2021-04-24 00:02:17 IST,24-04-2021,00:02:17,530,475524030,wallstjesus,JE$US,,🌡  https://t.co/NpmaGOd5qq,und,[],[],['https://pbs.twimg.com/media/Ezrc_5jWEAE_-Gd.jpg'],2,1,35,[],[],https://twitter.com/WallStJesus/status/1385662829009768449,FALSE,,1,https://pbs.twimg.com/media/Ezrc_5jWEAE_-Gd.jpg,,,,,,,[],,,,,NA,NA
1.39E+18,1.39E+18,2021-04-23 22:54:19 IST,23-04-2021,22:54:19,530,475524030,wallstjesus,JE$US,,📅  https://t.co/vcd18um1nL,und,[],[],['https://pbs.twimg.com/media/EzrNcVvWUAA9GQc.jpg'],0,3,16,[],[],https://twitter.com/WallStJesus/status/1385645725732810752,FALSE,,1,https://pbs.twimg.com/media/EzrNcVvWUAA9GQc.jpg,,,,,,,[],,,,,NA,NA
1.39E+18,1.39E+18,2021-04-23 22:09:54 IST,23-04-2021,22:09:54,530,475524030,wallstjesus,JE$US,,UPTICK IN REPEAT $RBLX CALL SWEEPERS,en,[],[],[],1,3,19,[],['rblx'],https://twitter.com/WallStJesus/status/1385634546427826178,FALSE,,0,,,,,,,,[],,,,,Neutral,NA
1.39E+18,1.39E+18,2021-04-23 21:53:47 IST,23-04-2021,21:53:47,530,475524030,wallstjesus,JE$US,,BofA Global Macro Snapshot:  Early innings of a strong capex cycle ..  https://t.co/UJdiJRrL3t,en,[],[],"['https://pbs.twimg.com/media/Ezq_lZeXIA0v2EJ.jpg', 'https://pbs.twimg.com/media/Ezq_lZgXsAI8aoJ.jpg', 'https://pbs.twimg.com/media/Ezq_lZhXsAAwd-Y.jpg', 'https://pbs.twimg.com/media/Ezq_lZhWYAMXM00.jpg']",0,5,11,[],[],https://twitter.com/WallStJesus/status/1385630490804301826,FALSE,,1,https://pbs.twimg.com/media/Ezq_lZeXIA0v2EJ.jpg,,,,,,,[],,,,,Positive,Excitement
1.39E+18,1.39E+18,2021-04-23 21:40:31 IST,23-04-2021,21:40:31,530,475524030,wallstjesus,JE$US,,💰  https://t.co/PGJzsZw19d,und,[],[],['https://pbs.twimg.com/media/Ezq8jRjXMAALqHK.jpg'],0,1,22,[],[],https://twitter.com/WallStJesus/status/1385627153170116608,FALSE,,1,https://pbs.twimg.com/media/Ezq8jRjXMAALqHK.jpg,,,,,,,[],,,,,NA,NA
1.39E+18,1.39E+18,2021-04-23 21:10:20 IST,23-04-2021,21:10:20,530,475524030,wallstjesus,JE$US,,$EHC  SOME MORE BULLISH POSITIONING AHEAD OF 4/27 NUMBERS,en,[],[],[],1,0,6,[],['ehc'],https://twitter.com/WallStJesus/status/1385619557193289731,FALSE,,0,,,,,,,,[],,,,,Negative,Fear
