id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Sentiments,Emotions
1.29457E+18,1.29457E+18,2020-08-15 15:11:54 IST,15-08-2020,15:11:54,530,230882562,exioms,Exioms,,#happyindependenceday2020 #IndependenceDay #IndependenceDayIndia2020 #Indians #India #IndiaIndependenceDay  https://t.co/bK3vvA7mHQ,und,[],[],[],0,1,1,"['happyindependenceday2020', 'independenceday', 'independencedayindia2020', 'indians', 'india', 'indiaindependenceday']",[],https://twitter.com/Exioms/status/1294569999181344769,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1294569734407561216/pu/img/KCthATaMomDysu9B.jpg,,,,,,,[],,,,,Positive,Excitement
1.28628E+18,1.28628E+18,2020-07-23 18:26:50 IST,23-07-2020,18:26:50,530,230882562,exioms,Exioms,,#appdevelopment #MobileApp #appdevelopers #exioms      https://t.co/7BFpCcEUSY,und,[],['https://finance.yahoo.com/news/top-app-development-companies-july-091500061.html'],[],0,0,0,"['appdevelopment', 'mobileapp', 'appdevelopers', 'exioms']",[],https://twitter.com/Exioms/status/1286284133430263809,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.24396E+18,1.24396E+18,2020-03-28 23:14:21 IST,28-03-2020,23:14:21,530,230882562,exioms,Exioms,, https://t.co/uXKKT6I5XZ,und,[],['https://cointelegraph.com/news/india-crypto-renaissance-industry-sees-rebirth-as-rbi-crypto-ban-lifts'],[],0,0,0,[],[],https://twitter.com/Exioms/status/1243957110095990785,FALSE,,0,,,,,,,,[],,,,,NA,NA
1.08471E+18,1.08471E+18,2019-01-14 12:25:57 IST,14-01-2019,12:25:57,530,230882562,exioms,Exioms,,#MakarSankranti2019 #HappyMakarSankranti  https://t.co/YaCkiCb07Z,und,[],[],['https://pbs.twimg.com/media/Dw2l9ZZVYAAEpKy.jpg'],0,0,1,"['makarsankranti2019', 'happymakarsankranti']",[],https://twitter.com/Exioms/status/1084705660762275842,FALSE,,1,https://pbs.twimg.com/media/Dw2l9ZZVYAAEpKy.jpg,,,,,,,[],,,,,Positive,Excitement
1.07744E+18,1.07744E+18,2018-12-25 11:25:35 IST,25-12-2018,11:25:35,530,230882562,exioms,Exioms,,wish you all #MerryChristmas #HappyChristmas  https://t.co/yRBATnVZse,en,[],[],['https://pbs.twimg.com/media/DvPYXbOVsAAqh7h.jpg'],0,0,2,"['merrychristmas', 'happychristmas']",[],https://twitter.com/Exioms/status/1077442713228738560,FALSE,,1,https://pbs.twimg.com/media/DvPYXbOVsAAqh7h.jpg,,,,,,,[],,,,,Positive,Excitement
1.0583E+18,1.0583E+18,2018-11-02 15:40:17 IST,02-11-2018,15:40:17,530,230882562,exioms,Exioms,,@Exioms #Blockchain #Platform : Build and scale your own blockchain driven business.  https://t.co/dUICUQFOUC,en,[],[],['https://pbs.twimg.com/media/Dq_VboeU4AARcGl.jpg'],0,1,4,"['blockchain', 'platform']",[],https://twitter.com/Exioms/status/1058300256067104768,FALSE,,1,https://pbs.twimg.com/media/Dq_VboeU4AARcGl.jpg,,,,,,,[],,,,,Neutral,Optimism
1.04053E+18,1.04053E+18,2018-09-14 14:48:48 IST,14-09-2018,14:48:48,530,230882562,exioms,Exioms,,@Exioms #Blockchain #Platform : Build and scale your own blockchain driven business.,en,[],[],[],0,1,1,"['blockchain', 'platform']",[],https://twitter.com/Exioms/status/1040530293621448704,FALSE,,0,,,,,,,,[],,,,,Neutral,Optimism
1.03904E+18,1.03904E+18,2018-09-10 12:01:26 IST,10-09-2018,12:01:26,530,230882562,exioms,Exioms,,Inspiring leaders are great storytellers. @carminegallo  https://t.co/ThKicxIwf6,en,"[{'screen_name': 'carminegallo', 'name': 'carminegallo', 'id': '17692690'}]",['http://www.forbes.com/sites/carminegallo/2018/09/07/howard-schultz-elevated-the-art-of-corporate-storytelling/'],[],0,1,1,[],[],https://twitter.com/Exioms/status/1039038623646138368,FALSE,,0,,,,,,,,[],,,,,Positive,Optimism
1.03652E+18,1.03652E+18,2018-09-03 13:02:22 IST,03-09-2018,13:02:22,530,230882562,exioms,Exioms,, https://t.co/Z9Dip8h7Xm  #BLOCKCHAIN #ICO #startups #blockchains  https://t.co/w6259lJoFR,und,[],['https://bitcoinexchangeguide.com/ico-used-blockchain-projects-are-struggling-due-to-crypto-market-volatility/'],['https://pbs.twimg.com/media/DmJysJpUYAAEW34.jpg'],0,1,5,"['blockchain', 'ico', 'startups', 'blockchains']",[],https://twitter.com/Exioms/status/1036517243033546754,FALSE,,1,https://pbs.twimg.com/media/DmJysJpUYAAEW34.jpg,,,,,,,[],,,,,NA,NA
1.03509E+18,1.03509E+18,2018-08-30 14:24:12 IST,30-08-2018,14:24:12,530,230882562,exioms,Exioms,,@Exioms #ethereum #ICO #blockchainnews  #blockchain #blockchaintechnology #cryptocurrency,und,[],[],[],0,0,2,"['ethereum', 'ico', 'blockchainnews', 'blockchain', 'blockchaintechnology', 'cryptocurrency']",[],https://twitter.com/Exioms/status/1035088285096468480,FALSE,https://twitter.com/_CoinWatch/status/1033763127907770374,0,,,,,,,,[],,,,,NA,NA
