id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,,,,,,,,,,Sentiment,Emotions
1.38569E+18,1.38569E+18,2021-04-24 02:01:51 IST,24-04-2021,02:01:51,530,1657077212,dashyszn,Brandon,, https://t.co/x2yEGm8C6C,und,[],['https://youtu.be/K4BSW8Dmb6k'],[],13,4,133,[],[],https://twitter.com/DashySZN/status/1385692920204861440,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,NA,NA
1.38543E+18,1.38543E+18,2021-04-23 08:55:23 IST,23-04-2021,08:55:23,530,1657077212,dashyszn,Brandon,,🤯🤯🤯,und,[],[],[],50,85,4004,[],[],https://twitter.com/DashySZN/status/1385434599304556546,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,Negative,Panic
1.38508E+18,1.38508E+18,2021-04-22 09:33:49 IST,22-04-2021,09:33:49,530,1657077212,dashyszn,Brandon,,@MaTtKs  https://t.co/4Fylftvgi3,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzjMoBDUYAEEh8w.jpg'],1,1,40,[],[],https://twitter.com/DashySZN/status/1385081883478745089,FALSE,,1,https://pbs.twimg.com/tweet_video_thumb/EzjMoBDUYAEEh8w.jpg,,,,,,,[],,,,,,,,,,,,,,NA,NA
1.38507E+18,1.38507E+18,2021-04-22 09:04:57 IST,22-04-2021,09:04:57,530,1657077212,dashyszn,Brandon,,"@IssaDarkness yeee it's ""DASHY""",en,[],[],[],1,0,5,[],[],https://twitter.com/DashySZN/status/1385074620210958338,FALSE,,0,,,,,,,,"[{'screen_name': 'IssaDarkness', 'name': 'Dev', 'id': '1102704366023254017'}]",,,,,,,,,,,,,,Positive,Excitement
1.38502E+18,1.38502E+18,2021-04-22 05:46:24 IST,22-04-2021,05:46:24,530,1657077212,dashyszn,Brandon,,@Gunr72 @DylanEnvoy convos were funny asf my guy 😂,en,[],[],[],3,0,625,[],[],https://twitter.com/DashySZN/status/1385024654499192832,FALSE,,0,,,,,,,,"[{'screen_name': 'Gunr72', 'name': 'Sameer', 'id': '323375293'}, {'screen_name': 'DylanEnvoy', 'name': 'OpTic Envoy', 'id': '925159100257849345'}]",,,,,,,,,,,,,,Negative,Excitement
1.38496E+18,1.38495E+18,2021-04-22 01:19:37 IST,22-04-2021,01:19:37,530,1657077212,dashyszn,Brandon,,@CrypticNoHoes us?? 😭,und,[],[],[],7,2,614,[],[],https://twitter.com/DashySZN/status/1384957516946288643,FALSE,,0,,,,,,,,"[{'screen_name': 'CrypticNoHoes', 'name': 'cryptic incognito', 'id': '1357094550033039361'}]",,,,,,,,,,,,,,Negative,Hope
1.38495E+18,1.38495E+18,2021-04-22 00:52:42 IST,22-04-2021,00:52:42,530,1657077212,dashyszn,Brandon,,@CrypticNoHoes @ me next time...,en,[],[],[],2,5,675,[],[],https://twitter.com/DashySZN/status/1384950742822305795,FALSE,,0,,,,,,,,"[{'screen_name': 'CrypticNoHoes', 'name': 'cryptic incognito', 'id': '1357094550033039361'}]",,,,,,,,,,,,,,NA,NA
1.38495E+18,1.38495E+18,2021-04-22 00:33:16 IST,22-04-2021,00:33:16,530,1657077212,dashyszn,Brandon,,NickMercs is different...,en,[],[],[],34,85,4433,[],[],https://twitter.com/DashySZN/status/1384945850112221189,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,Neutral,Relief
1.38494E+18,1.38494E+18,2021-04-22 00:14:53 IST,22-04-2021,00:14:53,530,1657077212,dashyszn,Brandon,,@iLLeYYY @ItsLauraBearr bro laura was final for a bit no bs 😂😂,en,[],[],[],0,0,60,[],[],https://twitter.com/DashySZN/status/1384941225879515137,FALSE,,0,,,,,,,,"[{'screen_name': 'iLLeYYY', 'name': 'Empire iLLeY', 'id': '540448059'}, {'screen_name': 'ItsLauraBearr', 'name': 'Laura ʕ•ᴥ•ʔ', 'id': '547216527'}]",,,,,,,,,,,,,,Positive,Excitement
1.38494E+18,1.38494E+18,2021-04-22 00:08:40 IST,22-04-2021,00:08:40,530,1657077212,dashyszn,Brandon,,@ItsLauraBearr hold a iron real quick,en,[],[],[],5,1,114,[],[],https://twitter.com/DashySZN/status/1384939661722853378,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,Neutral,NA
1.38475E+18,1.38475E+18,2021-04-21 11:43:10 IST,21-04-2021,11:43:10,530,1657077212,dashyszn,Brandon,,@ACHES 👀,und,[],[],[],3,0,188,[],[],https://twitter.com/DashySZN/status/1384752046750973955,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,NA,NA
1.38475E+18,1.38475E+18,2021-04-21 11:42:11 IST,21-04-2021,11:42:11,530,1657077212,dashyszn,Brandon,,@SaintsNato bro mo is finding any way possible to camera rn 😭,en,[],[],[],2,1,220,[],[],https://twitter.com/DashySZN/status/1384751800306311168,FALSE,,0,,,,,,,,"[{'screen_name': 'SaintsNato', 'name': 'NYSL Nat0', 'id': '271697994'}]",,,,,,,,,,,,,,Negative,Excitement
1.38475E+18,1.38475E+18,2021-04-21 11:40:22 IST,21-04-2021,11:40:22,530,1657077212,dashyszn,Brandon,,4/20 update for sure,en,[],[],[],23,82,3017,[],[],https://twitter.com/DashySZN/status/1384751343307534339,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,Neutral,Hope
1.38471E+18,1.38471E+18,2021-04-21 09:12:22 IST,21-04-2021,09:12:22,530,1657077212,dashyszn,Brandon,,@TeddyRecKs 3v3/4v4 chall?,und,[],[],[],4,0,65,[],[],https://twitter.com/DashySZN/status/1384714100203270146,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,NA,NA
1.38433E+18,1.38433E+18,2021-04-20 08:05:00 IST,20-04-2021,08:05:00,530,1657077212,dashyszn,Brandon,,@OctaneSam @JKap415 rEGgiE mILlEr,no,[],[],[],5,1,180,[],[],https://twitter.com/DashySZN/status/1384334755907334144,FALSE,,0,,,,,,,,"[{'screen_name': 'OctaneSam', 'name': 'Sam Larew', 'id': '1861916071'}, {'screen_name': 'JKap415', 'name': 'Jordan Kaplan', 'id': '252791673'}]",,,,,,,,,,,,,,NA,NA
1.38433E+18,1.38433E+18,2021-04-20 08:01:19 IST,20-04-2021,08:01:19,530,1657077212,dashyszn,Brandon,,@JKap415 @OctaneSam who tf is willing to argue that 😭😭,en,[],[],[],6,1,281,[],[],https://twitter.com/DashySZN/status/1384333829968588800,FALSE,,0,,,,,,,,"[{'screen_name': 'JKap415', 'name': 'Jordan Kaplan', 'id': '252791673'}, {'screen_name': 'OctaneSam', 'name': 'Sam Larew', 'id': '1861916071'}]",,,,,,,,,,,,,,Negative,Fear
1.38433E+18,1.38401E+18,2021-04-20 08:00:36 IST,20-04-2021,08:00:36,530,1657077212,dashyszn,Brandon,,@aBeZy appreciate it goat 🙏🏽🐐,en,[],[],[],0,1,161,[],[],https://twitter.com/DashySZN/status/1384333650720804866,FALSE,,0,,,,,,,,"[{'screen_name': 'aBeZy', 'name': 'FaZe aBeZy', 'id': '2991273945'}]",,,,,,,,,,,,,,Neutral,Hope
1.38433E+18,1.38433E+18,2021-04-20 07:48:59 IST,20-04-2021,07:48:59,530,1657077212,dashyszn,Brandon,,@TJHaLy  https://t.co/I0zAR4XVuY,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzYhc5_VUAMTaL5.jpg'],2,5,238,[],[],https://twitter.com/DashySZN/status/1384330725990694912,FALSE,,1,https://pbs.twimg.com/tweet_video_thumb/EzYhc5_VUAMTaL5.jpg,,,,,,,[],,,,,,,,,,,,,,NA,NA
1.38433E+18,1.38433E+18,2021-04-20 07:46:13 IST,20-04-2021,07:46:13,530,1657077212,dashyszn,Brandon,,Steph Curry is incredible. Wow,en,[],[],[],24,72,1996,[],[],https://twitter.com/DashySZN/status/1384330029400793089,FALSE,,0,,,,,,,,[],,,,,,,,,,,,,,Positive,Excitement
