id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,,,Sentiment,Emotions
1.3773E+18,1.3773E+18,2021-03-31 21:58:59 IST,31-03-2021,21:58:59,530,31995251,ma2k,mak,,$RAIL infrastructure play,en,[],[],[],0,0,0,[],['rail'],https://twitter.com/ma2k/status/1377296878023405569,FALSE,,0,,,,,,,,[],,,,,,,Neutral,NA
1.37447E+18,1.37447E+18,2021-03-24 02:30:23 IST,24-03-2021,02:30:23,530,31995251,ma2k,mak,,$HOFV nft play - real news lol,de,[],[],[],0,0,0,[],['hofv'],https://twitter.com/ma2k/status/1374466075891429392,FALSE,,0,,,,,,,,[],,,,,,,Negative,Excitement
1.37299E+18,1.37299E+18,2021-03-20 01:01:53 IST,20-03-2021,01:01:53,530,31995251,ma2k,mak,,Is $LEAF nft play?,en,[],[],[],0,0,1,[],['leaf'],https://twitter.com/ma2k/status/1372994254138531842,FALSE,,0,,,,,,,,[],,,,,,,Neutral,NA
1.36898E+18,1.36898E+18,2021-03-08 22:56:37 IST,08-03-2021,22:56:37,530,31995251,ma2k,mak,,"@InvestorsLive what you said yesterday in Sunday scan is right - stocks will go up, sale, consolidate",en,[],[],[],0,0,0,[],[],https://twitter.com/ma2k/status/1368976463471468559,FALSE,,0,,,,,,,,[],,,,,,,Positive,Relief
1.36721E+18,1.36721E+18,2021-03-04 01:46:58 IST,04-03-2021,01:46:58,530,31995251,ma2k,mak,,"Watch $OLB, will squeeze again",en,[],[],[],0,0,0,[],['olb'],https://twitter.com/ma2k/status/1367207391700393984,FALSE,,0,,,,,,,,[],,,,,,,Neutral,Hope
1.3668E+18,1.3668E+18,2021-03-02 22:59:25 IST,02-03-2021,22:59:25,530,31995251,ma2k,mak,,$OLB is next $SHOP,en,[],[],[],0,0,0,[],"['olb', 'shop']",https://twitter.com/ma2k/status/1366802837263577094,FALSE,,0,,,,,,,,[],,,,,,,Neutral,NA
1.36655E+18,1.36655E+18,2021-03-02 06:09:42 IST,02-03-2021,06:09:42,530,31995251,ma2k,mak,,Bought $NXTD Bitcoin stocks gaining strength,en,[],[],[],0,0,1,[],['nxtd'],https://twitter.com/ma2k/status/1366548736088932354,FALSE,,0,,,,,,,,[],,,,,,,Positive,Relief
1.36544E+18,1.36543E+18,2021-02-27 04:26:18 IST,27-02-2021,04:26:18,530,31995251,ma2k,mak,,@InvestorsLive How to manage the trade size and cut losses and when to enter and exit especially in falling market.,en,[],[],[],0,0,2,[],[],https://twitter.com/ma2k/status/1365435548744187908,FALSE,,0,,,,,,,,"[{'screen_name': 'InvestorsLive', 'name': 'Nathan Michaud', 'id': '15971805'}]",,,,,,,Neutral,Fear
1.36508E+18,1.36508E+18,2021-02-26 04:38:56 IST,26-02-2021,04:38:56,530,31995251,ma2k,mak,,"Have patience; we will green soon, don’t use margin and have cash ready; plenty of good opportunities are available",en,[],[],[],0,0,0,[],[],https://twitter.com/ma2k/status/1365076343331971073,FALSE,,0,,,,,,,,[],,,,,,,Positive,Optimism
1.36475E+18,1.36475E+18,2021-02-25 06:52:14 IST,25-02-2021,06:52:14,530,31995251,ma2k,mak,,"My guess based on short interest and synthetic short calls, $GME may go beyond 500, I may be wrong.",en,[],[],[],0,0,0,[],['gme'],https://twitter.com/ma2k/status/1364747501752958978,FALSE,,0,,,,,,,,[],,,,,,,Neutral,Optimism
